"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Atmosfia_INA: Halo gaess!
Jadi untuk mendukung program pemerintah #dirumahaja, kita bakal bagi-bagi pulsa sebesar 25k nih ke kalian tap…",FALSE,0,NA,"2020-04-16 09:24:01",FALSE,NA,"1250716565877608448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Atmosfia_INA",30,TRUE,FALSE,NA,NA
"Sebentar lagi Ramadhan... Ayo bergembira dan bersuka ria... Jangan lupa cuci tangan, masker dan paling penting,… https://t.co/zuNihzxBMq",FALSE,0,NA,"2020-04-16 09:23:59",TRUE,NA,"1250716559598747648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SabilTahda",0,FALSE,FALSE,NA,NA
"RT @KemenkesRI: Update situasi terkini perkembangan #COVID19 di Indonesia (16/4)
 
(Sebuah utas)

#BersatuLawanCovid19 
#dirumahaja 
#JagaJ…",FALSE,0,NA,"2020-04-16 09:23:53",FALSE,NA,"1250716535078809600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FajarHadi_W",165,TRUE,FALSE,NA,NA
"RT @palangmerah: Aku tahu kamu jenuh, tapi tolong tetap #Dirumahaja ya. Ini semua untuk #CegahCovid19. Sehat selalu sahabat PMI. https://t.…",FALSE,0,NA,"2020-04-16 09:23:53",FALSE,NA,"1250716532583198720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AecNewsToday",7,TRUE,FALSE,NA,NA
"RT @ameliammy24: Hai teman2 yg berdomisili di Sidoarjo. Mumpung #dirumahaja &amp; barangkali lagi pgn ketoprak, aku mau rekomendasiin ketoprak…",FALSE,0,NA,"2020-04-16 09:23:50",FALSE,NA,"1250716521124425728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kulinersurabaya",21,TRUE,FALSE,NA,NA
"RT @OfficialRCTI: Semoga kita bisa cepat bergandengan tangan erat lagi, ya. Mention teman kamu yang ingin kamu gandeng erat tangannya!

Hap…",FALSE,0,NA,"2020-04-16 09:23:39",FALSE,NA,"1250716473221251072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hendra_sapera",30,TRUE,FALSE,NA,NA
"RT @tiarbah: #dirumahaja hari ke 28: menjadi abang mie tek-tek https://t.co/jsZQRcM0yS",FALSE,0,NA,"2020-04-16 09:23:30",FALSE,NA,"1250716438777655296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ichiyocha",1314,TRUE,FALSE,NA,NA
"@BNPB_Indonesia @KemenkesRI Achmad Yurianto: ""Peningkatan kasus positif COVID-19 di Indonesia per 16 April 2020 seb… https://t.co/4wAVzYLhCj",FALSE,0,"RadioElshinta","2020-04-16 09:23:19",TRUE,"1250715268982030336","1250716392447344640","121640063","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RadioElshinta",0,FALSE,FALSE,NA,NA
"ON THIS DAY!

Nemenin kamu yang lagi #dirumahaja 

Apa yang kamu ingat dari Michael Jordan? https://t.co/rt2WRavE7E",FALSE,0,NA,"2020-04-16 09:23:17",FALSE,NA,"1250716383769313280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PodcastBallBoy",0,FALSE,FALSE,NA,NA
". 🇹​🇪​🇷​🇧​🇦​🇷​🇺​ .
.
========================================
.
Hai sahabat RK pastiin kamu tetap stay #diRumahAja… https://t.co/XQZreKBv0E",FALSE,0,NA,"2020-04-16 09:23:16",TRUE,NA,"1250716378488803328",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","radiokitanet_",0,FALSE,FALSE,"106.92850429","-6.22727"
