"label","text","text_clean","text_token","label_num"
"anger","Soal jln Jatibaru,polisi tdk bs GERTAK gubernur .Emangny polisi tdk ikut pmbhasan? Jgn berpolitik. Pengaturan wilayah,hak gubernur. Persoalan Tn Abang soal turun temurun.Pelik.Perlu kesabaran. [USERNAME] [USERNAME] [URL]","soal jalan jatibaru polisi tidak bisa gertak gubernur emangny polisi tidak ikut pmbhasan tandatanya jangan berpolitik pengaturan wilayah hak gubernur persoalan tn abang soal turun temurun pelik perlu kesabaran","jalan  jatibaru  polisi  gertak  gubernur  emangny  polisi  pmbhasan  tandatanya  politik  atur  wilayah  hak  gubernur  tn  abang  turun  temurun  pelik  sabar",0
"anger","Sesama cewe lho (kayaknya), harusnya bisa lebih rasain lah yang harus sibuk jaga diri, rasain sakitnya haid, dan paniknya pulang malem sendirian. Gimana orang asing? Wajarlah banyak korban yang takut curhat, bukan dibela malah dihujat.","sesama cewek lho kayaknya harusnya bisa lebih rasai lah yang harus sibuk jaga diri rasai sakitnya haid dan paniknya pulang malam sendirian bagaimana orang asing tandatanya wajarlah banyak korban yang takut curhat bukan dibela malah dihujat","cewek  lho  kayak  rasai  sibuk  jaga  rasai  sakit  haid  panik  pulang  malam  asing  tandatanya  wajar  korban  takut  curhat  bela  hujat",0
"happy","Kepingin gudeg mbarek Bu hj. Amad Foto dari google, sengaja, biar teman-teman jg membayangkannya. Berbagi itu indah.","pengin gudeg mbarek bu hj amat foto dari google sengaja biar teman teman juga membayangkannya berbagi itu indah","pengin  gudeg  mbarek  bu  hj  foto  google  sengaja  biar  teman  teman  bayang  indah",3
"anger","Jln Jatibaru,bagian dari wilayah Tn Abang.Pengaturan wilayah tgg jwb dan wwnang gub.Tng Abng soal rumit,sejak gub2 , trdahulu.Skrg sedng dibenahi,agr bermnfaat semua pihak.Mohon yg punya otak,berpikirlah dgn wajar,kecuali otaknya butek.Ya kamu. [URL]","jalan jatibaru bagian dari wilayah tn abang pengaturan wilayah tgg jawab dan wwnang gub tng abng soal rumit sejak gub trdahulu sekarang sedng dibenahi agr bermnfaat semua pihak mohon yang punya otak berpikirlah dengan wajar kecuali otaknya butek ya kamu","jalan  jatibaru  wilayah  tn  abang  atur  wilayah  tgg  wwnang  gub  tng  abng  rumit  gub  trdahulu  sedng  benah  agr  bermnfaat  otak  pikir  wajar  kecuali  otak  butek",0
"happy","Sharing pengalaman aja, kemarin jam 18.00 batalin tiket di stasiun pasar senen, lancar, antrian tidak terlalu rame,15 menitan dan beress semua! Mungkin bisa dicoba twips, di jam-jam segitu  cc [USERNAME]","sharing pengalaman saja kemarin jam batalin tiket di stasiun pasar senen lancar antrian tidak terlalu rame menitan dan beress semua tandaseru mungkin bisa dicoba twips di jam jam segitu cc","sharing  alam  kemarin  jam  batalin  tiket  stasiun  pasar  senen  lancar  antri  rame  menit  beress  tandaseru  coba  twips  jam  jam  segitu  cc",3
"anger","Dari sekian banyak thread yang aku baca, thread ini paling aneh sih dalam penulisan. Sumpah aneh bgt, mau ngatain ""lebay"" aja segala bikin thread hadeh. Aku juga ga jago nulis, tapi tulisan aku ga seberantakan thread mbaknya.","dari sekian banyak thread yang aku baca thread ini paling aneh sih dalam penulisan sumpah aneh banget mau mengatai lebay saja segala bikin thread hadeh aku juga enggak jago menulis tapi tulisan aku enggak seberantakan thread mbaknya","kian  thread  baca  thread  aneh  tulis  sumpah  aneh  banget  katai  lebay  bikin  thread  hadeh  jago  tulis  tulis  berantak  thread  mbak",0
"happy","Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.","sharing sama teman tuh memang guna banget disaat lu merasa masalah lu berat banget ternyata teman kita sendiri punya masalah lebih berat dari kita malah masalah kita enggak ada apanya dibanding masalah dia","sharing  teman  tuh  banget  lu  lu  berat  banget  teman  berat  banding",3
"sadness","Orang lain kalau pake ponco itu buat jas hujan, nah dia pake buat kasur. Ya tadi gara2 saking gak punya apa2. Mamak bilang, kami tuh di awal pernikan gak ada ngalamin bulan madu kayak skrg2. Org tidur nya aja pake ponco. Gimane mau bulan madu.","orang lain kalau pakai ponco itu buat jas hujan nah dia pakai buat kasur ya tadi gara saking enggak punya apa mamak bilang kami tuh di awal pernikan enggak ada ngalamin bulan madu kayak sekarang orang tidur nya saja pakai ponco gimane mau bulan madu","pakai  ponco  jas  hujan  pakai  kasur  gara  saking  mamak  bilang  tuh  pernik  ngalamin  madu  kayak  tidur  pakai  ponco  gimane  madu",2
"anger","Contoh mereka yg gemar menyudutkan, teriak paling toleran tp gemar menuduh, gemar men-judge seseorang berdasarkan versi mereka. Cukup tau saja.","contoh mereka yang gemar menyudutkan teriak paling toleran tapi gemar menuduh gemar men judge seseorang berdasarkan versi mereka cukup tau saja","contoh  gemar  sudut  teriak  toleran  gemar  tuduh  gemar  men  judge  dasar  versi  tau",0
"sadness","Pulang udah H-4 lebaran dilema sekali. Seperti tidak bisa melakukan apa2 dirumah sebelum lebaran. Buka puasa bareng cuman 3 hari sama keluarga begitu juga sahur.","pulang sudah h lebaran dilema sekali seperti tidak bisa melakukan apa dirumah sebelum lebaran buka puasa bareng cuman hari sama keluarga begitu juga sahur","pulang  lebaran  dilema  sekal  rumah  lebaran  buka  puasa  bareng  cuman  keluarga  sahur",2
